2007-11-05 T 20:50:08.437 UTCRSS 5  [1] [SDAT] RSS : .simCompleted()():: Run: 0 pstat=  1 1.0646 1.0646 1.0646 NaN
2007-11-05 T 22:39:40.916 UTCRSS 1061  [1] [SDAT] RSS : .simCompleted()():: Run: 132 pstat=  133 1.183530760233918 0.91756 1.4753888888888889 0.11804482343671821
2007-11-05 T 22:40:36.075 UTCRSS 1069  [1] [SDAT] RSS : .simCompleted()():: Run: 133 pstat=  134 1.1828783250414594 0.91756 1.4753888888888889 0.11784247563854304
2007-11-05 T 22:41:57.989 UTCRSS 1077  [1] [SDAT] RSS : .simCompleted()():: Run: 134 pstat=  135 1.183568477366255 0.91756 1.4753888888888889 0.1176754763911654
2007-11-05 T 22:43:37.997 UTCRSS 1085  [1] [SDAT] RSS : .simCompleted()():: Run: 135 pstat=  136 1.1831345098039214 0.91756 1.4753888888888889 0.11734801287332929
2007-11-05 T 22:45:33.245 UTCRSS 1093  [1] [SDAT] RSS : .simCompleted()():: Run: 136 pstat=  137 1.1841592376317922 0.91756 1.4753888888888889 0.11752940581730496
2007-11-05 T 22:46:26.663 UTCRSS 1101  [1] [SDAT] RSS : .simCompleted()():: Run: 137 pstat=  138 1.184906876006441 0.91756 1.4753888888888889 0.11742858319247747
2007-11-05 T 22:47:47.178 UTCRSS 1109  [1] [SDAT] RSS : .simCompleted()():: Run: 138 pstat=  139 1.1840954756195041 0.91756 1.4753888888888889 0.11739276788234239
2007-11-05 T 22:49:27.935 UTCRSS 1117  [1] [SDAT] RSS : .simCompleted()():: Run: 139 pstat=  140 1.1836621269841265 0.91756 1.4753888888888889 0.11708205825857339
2007-11-05 T 22:51:34.862 UTCRSS 1125  [1] [SDAT] RSS : .simCompleted()():: Run: 140 pstat=  141 1.1834580929866032 0.91756 1.4753888888888889 0.1166883130565922
2007-11-05 T 22:53:09.286 UTCRSS 1133  [1] [SDAT] RSS : .simCompleted()():: Run: 141 pstat=  142 1.1838190297339588 0.91756 1.4753888888888889 0.11635331097119277
